id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_type_alt_detail,PBP,game_date_time,game_date,team_box,player_box
281005003,s:40~l:59~e:281005003~c:281005003,2008-10-05T20:30Z,0,TRUE,FALSE,FALSE,FALSE,2008-10-05T20:30Z,event,WNBA FINALS - GAME 3,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",76,TRUE,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",60,FALSE,281005003,2008,3,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,"",TRUE,2008-10-05T20:30:00Z,2008-10-05,TRUE,TRUE
281003017,s:40~l:59~e:281003017~c:281003017,2008-10-03T23:30Z,0,TRUE,FALSE,FALSE,FALSE,2008-10-03T23:30Z,event,WNBA FINALS - GAME 2,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",61,FALSE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",69,TRUE,281003017,2008,3,,"","","",,,"",TRUE,2008-10-03T23:30:00Z,2008-10-03,TRUE,TRUE
281001017,s:40~l:59~e:281001017~c:281001017,2008-10-01T23:30Z,0,TRUE,FALSE,FALSE,FALSE,2008-10-01T23:30Z,event,WNBA FINALS - GAME 1,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",69,FALSE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",77,TRUE,281001017,2008,3,,"","","",,,"",TRUE,2008-10-01T23:30:00Z,2008-10-01,TRUE,TRUE
280929003,s:40~l:59~e:280929003~c:280929003,2008-09-29T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2008-09-29T23:00Z,event,EASTERN CONFERENCE FINALS - GAME 3,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",75,TRUE,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,73,FALSE,280929003,2008,3,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,"",FALSE,2008-09-29T23:00:00Z,2008-09-29,TRUE,TRUE
280928017,s:40~l:59~e:280928017~c:280928017,2008-09-28T21:00Z,0,TRUE,FALSE,FALSE,FALSE,2008-09-28T21:00Z,event,WESTERN CONFERENCE FINALS - GAME 3,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",76,TRUE,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,72,FALSE,280928017,2008,3,,"","","",,,"",TRUE,2008-09-28T21:00:00Z,2008-09-28,TRUE,TRUE
280928003,s:40~l:59~e:280928003~c:280928003,2008-09-28T19:00Z,0,TRUE,FALSE,FALSE,FALSE,2008-09-28T19:00Z,event,EASTERN CONFERENCE FINALS - GAME 2,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",64,TRUE,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,55,FALSE,280928003,2008,3,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,"",TRUE,2008-09-28T19:00:00Z,2008-09-28,TRUE,TRUE
280927017,s:40~l:59~e:280927017~c:280927017,2008-09-27T19:00Z,0,TRUE,FALSE,FALSE,FALSE,2008-09-27T19:00Z,event,WESTERN CONFERENCE FINALS - GAME 2,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",67,TRUE,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,66,FALSE,280927017,2008,3,,"","","",,,"",TRUE,2008-09-27T19:00:00Z,2008-09-27,TRUE,TRUE
280926009,s:40~l:59~e:280926009~c:280926009,2008-09-26T23:30Z,0,TRUE,FALSE,FALSE,FALSE,2008-09-26T23:30Z,event,EASTERN CONFERENCE FINALS - GAME 1,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,60,TRUE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",56,FALSE,280926009,2008,3,1830,Madison Square Garden,New York,NY,19763,FALSE,"",TRUE,2008-09-26T23:30:00Z,2008-09-26,TRUE,TRUE
280925006,s:40~l:59~e:280925006~c:280925006,2008-09-26T02:30Z,0,TRUE,FALSE,FALSE,FALSE,2008-09-26T02:30Z,event,WESTERN CONFERENCE FINALS - GAME 1,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,85,TRUE,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",70,FALSE,280925006,2008,3,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,"",TRUE,2008-09-26T02:30:00Z,2008-09-25,TRUE,TRUE
280923014,s:40~l:59~e:280923014~c:280923014,2008-09-24T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2008-09-24T01:00Z,event,WESTERN CONFERENCE SEMIFINALS -,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,64,FALSE,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,71,TRUE,280923014,2008,3,2184,KeyArena,Seattle,WA,17459,TRUE,"",TRUE,2008-09-24T01:00:00Z,2008-09-23,TRUE,TRUE
